,0,1
0,47.618412,-10.911799
1,80.29692,-56.331345
2,89.122345,10.107372
3,67.81725,54.604958
4,66.09163,47.635822
5,50.875828,-20.035227
6,89.810684,-41.150482
7,70.181725,12.907655
8,56.819057,67.16563
9,66.4684,52.491844
10,63.944813,-20.008915
11,68.8387,-39.43212
12,64.03993,55.030827
13,60.513657,63.497437
14,17.307886,81.40149
15,53.66177,81.81677
16,17.192936,81.88364
17,62.313686,68.23439
18,56.57679,56.11058
19,65.87294,57.574856
20,62.11013,60.619522
21,57.74698,57.72032
22,62.85311,60.135742
23,57.184444,53.526993
24,59.908077,60.955696
25,43.212414,83.359116
26,45.8938,80.231995
27,57.026367,58.341034
28,59.696262,60.56167
29,52.818794,37.673817
30,60.52263,34.936428
31,60.49741,34.783073
32,59.964787,40.429203
33,59.777126,36.59301
34,61.10509,34.037357
35,59.997643,33.97089
36,58.940365,37.364925
37,58.85288,37.409393
38,59.03405,37.235218
39,59.523357,33.037468
40,61.228825,30.255112
41,58.263023,26.99597
42,-20.113058,38.604355
43,111.22375,0.7334148
44,-4.0209804,1.047111
45,17.567657,9.008692
46,-23.352512,35.63203
47,-34.80596,61.30525
48,-66.64203,20.92147
49,-69.56712,18.26778
50,-70.05773,18.020065
51,-9.774885,2.7207212
52,-45.809937,16.441586
53,-30.475965,32.281338
54,-3.0823874,-8.937756
55,-3.3168125,4.031925
56,-20.40577,29.018208
57,-76.44711,-0.7099202
58,-20.310513,28.72016
59,-68.24403,19.057064
60,-4.6729274,-0.36465454
61,-76.9524,-1.871574
62,-42.11264,-12.687578
63,-70.00399,6.410509
64,7.310894,7.7699165
65,-17.886261,-20.992697
66,5.3027396,9.172866
67,-64.61949,8.445072
68,-74.618866,5.3408055
69,5.3030553,9.092438
70,-75.95419,-3.7250304
71,-75.73785,-3.7415588
72,24.812449,-76.00252
73,-65.639824,-20.805464
74,-75.86369,-3.6202862
75,-65.51872,-21.77119
76,-75.81924,-3.6230633
77,-68.84653,-18.04955
78,-24.378172,-37.027378
79,-78.92577,-16.586962
80,3.305981,-61.029728
81,-71.72906,-38.00747
82,15.002977,-77.527466
83,-71.29638,-35.55637
84,-76.35646,-30.916279
85,-68.341774,-33.679417
86,-76.69947,-11.596494
87,-65.620445,-21.913086
88,-72.51463,-16.87497
89,-75.4702,-28.222372
90,-76.60772,-11.568732
91,-62.10654,-21.601995
92,-61.459362,-41.58255
93,-39.9665,-44.6891
94,-40.010387,-53.214603
95,-41.773094,-45.477943
96,-54.60693,-39.60968
97,-59.04655,-42.535664
98,-39.854973,-53.276276
99,-39.18652,-51.52383
100,-45.574726,-40.77832
101,-62.944324,-42.902573
102,-11.157332,-53.923065
103,-21.445854,-19.465609
104,-61.284046,-41.853256
105,-51.589863,-48.978786
106,-29.801746,-47.1369
107,-62.962475,-44.062828
108,-26.044582,-52.8972
109,-55.84218,-65.73574
110,-51.38704,-49.457977
111,-4.2392626,-63.407722
112,-1.4552749,-67.19189
113,-59.468044,-61.19275
114,33.131348,-70.40979
115,-54.79723,-68.56799
116,-38.774715,-46.59997
117,-13.606445,-23.55584
118,-47.169,-65.3292
119,-58.92583,-61.26947
120,-54.834972,-67.94818
121,-6.0562177,-65.58324
122,-7.8559074,-73.9852
123,22.980923,-36.06817
124,8.942987,-69.14911
125,-57.17492,-67.26442
126,65.537865,-56.446705
127,-44.286255,-59.54974
128,-8.555321,-63.895607
129,-55.36274,-66.72709
130,-62.778378,-58.015827
131,-29.755932,-51.684116
132,-48.119587,-58.75973
133,-60.65309,-64.05229
134,-16.10929,-56.898895
135,-47.439884,-65.307045
136,-55.11122,-66.84794
137,-7.701984,-67.068756
138,-6.9218116,-67.97157
139,-56.812107,-63.326443
140,-7.2055297,-66.0834
141,-59.977646,-60.133
142,-45.559902,-63.15055
143,-59.757126,-60.089085
144,-5.412865,-66.30381
145,-51.753246,-49.927135
146,-55.15898,-62.21745
147,-59.966614,-63.06277
148,-8.147374,-67.344864
149,-55.105736,-68.05775
150,-60.821472,-65.25519
151,-60.742096,-65.00981
152,-60.47466,-60.257557
153,-61.145218,-64.76408
154,-62.409203,-57.418064
155,-56.662342,-63.4462
156,-11.566324,-61.748283
157,-28.472301,-55.041214
158,-47.287548,-65.22399
159,-46.008545,-66.20056
160,-8.4689045,-67.22375
161,-8.117817,-64.94716
162,8.676767,-81.36746
163,-55.489555,-68.31381
164,-59.92164,-65.52205
165,-55.656006,-67.894264
166,22.96575,-77.88902
167,-61.484905,-65.254654
168,112.04736,0.07258896
169,-61.710133,-66.87282
170,-55.33184,-67.747894
171,-57.70978,-67.24191
172,-56.940304,-64.499435
173,-61.46564,-65.434296
174,-59.756744,-65.603096
175,-59.889336,-65.49127
176,-76.878136,-41.603302
177,-61.14189,-65.45755
178,-55.54844,-68.454796
179,-60.193146,-66.01596
180,-52.19914,-71.48155
181,-60.84261,-65.42557
182,-60.901024,-56.694584
183,4.4430175,-79.09288
184,-8.715854,-78.277794
185,-66.56729,-42.182796
186,8.984279,-45.354187
187,49.844124,-22.483166
188,89.68347,-56.32055
189,86.04668,1.2613854
190,67.01993,-5.9779687
191,50.754482,-9.348144
192,57.053143,-23.483978
193,89.3016,-52.40609
194,-3.066755,-26.890772
195,28.842133,-63.241592
196,-36.68999,-56.09284
197,38.902798,-64.32026
198,-16.306446,-57.200245
199,-29.994911,-49.18228
200,21.136189,-36.328518
201,-18.833529,-54.766125
202,-4.065029,-63.317436
203,-36.885185,-44.210663
204,14.246625,-57.942387
205,-56.952885,-58.539516
206,-62.312428,-62.39985
207,-23.126423,-10.665738
208,41.66154,-19.4681
209,57.33578,-27.178684
210,71.284386,-42.824757
211,-31.839928,-9.6111145
212,6.2367105,-22.39374
213,11.711893,-25.965858
214,-64.54512,-7.5638247
215,-74.67451,-5.0538898
216,-69.43048,-16.796618
217,-75.70634,-3.4098387
218,-75.06024,-9.375356
219,-23.524376,-29.156557
220,-64.699326,-21.592363
221,-5.816747,-42.916588
222,-33.1135,-24.331404
223,-31.70086,-1.201926
224,-19.550148,-26.753935
225,22.194283,-55.522324
226,-61.697662,-20.133041
227,-78.98405,-16.505487
228,-73.732506,-28.78678
229,4.348494,-57.70083
230,-74.757095,-6.3618474
231,-23.554852,-29.306536
232,-43.00854,-20.103083
233,-68.54358,-18.438423
234,-71.980515,-17.50124
235,-7.933553,-59.499107
236,-81.62342,-31.706198
237,-62.71929,-16.480196
238,-19.376932,-43.066483
239,-37.73464,-13.755642
240,111.00125,0.8300568
241,-74.74358,-6.504427
242,-25.275667,-48.095257
243,-30.252773,-42.73716
244,-7.5923214,-59.508255
245,-75.08476,-27.366005
246,9.3547325,-66.74386
247,-68.547806,-18.392982
248,-72.09837,-17.248499
249,-75.48953,-28.177782
250,-51.63125,-43.759155
251,-62.070766,-20.894558
