,0,1
0,91.78255,28.586752
1,79.83052,-40.917786
2,81.60986,17.870535
3,89.654724,24.145426
4,91.40386,28.828989
5,47.775093,-0.6899743
6,73.95464,-26.277014
7,67.77768,4.971893
8,84.915634,36.029526
9,85.24295,24.16745
10,85.261086,35.679623
11,85.36624,18.185171
12,87.4507,24.340895
13,84.88238,29.090893
14,84.04393,36.97527
15,79.565674,35.128204
16,84.22011,37.478928
17,89.006134,39.42392
18,87.37768,33.488995
19,86.49274,27.568813
20,85.32235,29.459944
21,86.55031,32.719055
22,85.73615,29.658388
23,86.66696,33.324306
24,83.94506,31.979357
25,82.765625,53.762024
26,80.933495,52.371307
27,72.375824,39.04955
28,72.3087,37.550976
29,70.28341,28.88474
30,69.09546,22.120995
31,69.025276,22.23182
32,68.32922,20.657959
33,68.487465,22.154434
34,66.798065,24.366955
35,67.90645,23.797394
36,18.812319,30.959583
37,18.851822,30.88084
38,18.834917,30.888685
39,15.603899,27.350782
40,15.591835,20.473335
41,11.159244,20.22475
42,-21.951078,48.0972
43,61.04291,-63.83462
44,16.219492,26.895454
45,-18.964281,43.359177
46,-38.43141,39.794323
47,-38.067238,56.42269
48,-57.738277,50.843338
49,-57.683506,51.42628
50,-59.37328,53.423244
51,-0.09233688,7.0330157
52,-15.311346,19.201433
53,-43.317043,32.35571
54,9.074194,8.471061
55,-14.3370695,10.235541
56,-17.636042,9.460462
57,-76.22894,18.290468
58,-22.760635,3.6699345
59,-72.93892,19.454964
60,-16.786264,3.18668
61,-82.121956,-5.920914
62,-74.01678,-3.6974049
63,-90.28482,3.7733328
64,-35.385483,4.1262236
65,-22.061989,-7.4400043
66,-81.36856,-6.0694695
67,-71.46239,-3.698812
68,-86.75868,-5.7296333
69,-81.05454,-6.4654403
70,-85.23769,-26.699507
71,-84.69003,-25.115238
72,-24.114258,-28.872578
73,-72.64033,-26.25143
74,-85.52352,-27.330345
75,-73.431366,-25.431898
76,-85.381256,-27.33548
77,-78.44156,-46.495
78,-82.10783,-28.98394
79,-77.51198,-46.98185
80,-73.51925,-57.438225
81,-76.23681,-43.698044
82,-27.90106,-38.991783
83,-77.37512,-43.743484
84,-77.61573,-45.617325
85,-75.03692,-46.136
86,-76.326675,-48.957684
87,-75.453804,-44.19749
88,-78.15382,-46.846497
89,-77.231384,-49.42989
90,-76.30168,-49.379845
91,-71.163025,-31.89143
92,-52.836258,-69.6912
93,-47.859795,-51.37732
94,-51.46188,-58.323586
95,-41.39583,-54.996624
96,-37.649605,-73.07901
97,-45.588562,-63.541344
98,-51.55649,-57.68075
99,-35.280598,-62.17625
100,-44.609043,-58.510746
101,-49.52926,-67.93186
102,-32.44806,-59.829082
103,-46.556286,-53.513298
104,-44.772625,-72.439674
105,-46.61158,-53.635292
106,-39.324722,-56.850594
107,-33.314476,-75.12462
108,-26.516724,-58.197845
109,-39.905323,-81.578415
110,-41.44025,-53.74719
111,-18.14444,-49.75997
112,-26.099995,-54.99941
113,-35.15021,-83.135284
114,32.285515,-50.692474
115,-39.08061,-82.94841
116,-41.363636,-72.800575
117,-9.075074,-45.171566
118,-41.739815,-78.379654
119,-22.484959,-81.33084
120,-20.850733,-92.050514
121,-23.210596,-55.19196
122,-17.387577,-64.09941
123,19.125053,-30.655317
124,-17.999128,-55.881863
125,-26.248737,-90.099045
126,52.65134,-47.77613
127,-12.827276,-66.62934
128,-24.812609,-57.76706
129,-40.32869,-79.92434
130,-21.862118,-87.375854
131,-28.517782,-82.92076
132,-25.543617,-73.827385
133,-38.28795,-86.45931
134,-26.016258,-55.349304
135,-41.673855,-78.58516
136,-40.307114,-79.76788
137,-21.072468,-93.45274
138,-21.997097,-61.006603
139,-30.588072,-81.45162
140,-23.585201,-56.375557
141,-33.860905,-83.896255
142,-17.843204,-68.40891
143,-25.239584,-86.56879
144,-16.445547,-59.434635
145,-14.461494,-80.59871
146,-28.508017,-84.578094
147,-20.937786,-84.49203
148,-21.213785,-93.35202
149,-21.67679,-91.46248
150,-21.095806,-88.829124
151,-20.910212,-88.86853
152,-24.399347,-87.552925
153,-20.872904,-88.18405
154,-20.739717,-86.60362
155,-30.533205,-81.424805
156,-22.226643,-93.12298
157,-23.32525,-65.059105
158,-41.649654,-78.312416
159,-21.20611,-79.77839
160,-21.217394,-93.95412
161,-16.289858,-61.5567
162,9.277721,-56.592907
163,-22.143354,-92.19237
164,-20.831045,-89.43425
165,-22.262285,-91.89488
166,9.369112,-56.346302
167,-20.126429,-87.77214
168,62.296116,-64.394775
169,-23.863848,-87.77737
170,-20.728638,-91.28595
171,-23.9447,-90.372406
172,-19.687336,-90.228546
173,-20.265501,-88.06315
174,-20.865377,-89.2556
175,-20.749882,-89.384094
176,-11.820877,-92.90132
177,-20.023617,-88.334335
178,-22.235498,-92.35464
179,-20.441929,-89.01209
180,-11.379471,-92.54447
181,-20.251272,-88.3163
182,-25.426098,-86.86297
183,1.8581463,-79.83967
184,-2.9350643,-77.38636
185,-12.6491785,-92.22175
186,18.76809,-56.78162
187,49.98457,-7.9245663
188,90.30011,-46.642227
189,86.29943,-19.4131
190,9.023984,-36.571648
191,10.979923,-27.787035
192,7.907866,-17.149088
193,89.558495,-41.57015
194,3.1365328,-36.312767
195,14.856388,-33.41237
196,-21.534603,-75.01331
197,34.265625,-48.048714
198,-27.893955,-61.693207
199,-28.439503,-64.70745
200,18.748137,-37.23355
201,-35.98147,-59.19608
202,-18.008348,-49.13556
203,-45.212524,-82.30139
204,-14.670895,-32.027653
205,-44.72315,-72.68151
206,-42.45208,-83.96335
207,-38.895523,-71.18632
208,7.287442,-16.94653
209,81.27131,-59.87921
210,72.58053,-34.81485
211,2.2966928,-8.330619
212,-6.6439295,-7.3481565
213,-6.3065114,-15.109559
214,-93.46656,-9.869397
215,-82.88016,-4.987977
216,-86.46164,-5.4470053
217,-86.35703,-5.7488704
218,-83.1182,-28.107832
219,-82.5582,-8.811684
220,-73.43915,-25.144411
221,-20.582275,-19.362059
222,-21.25724,-11.672847
223,-48.8328,-17.676355
224,-20.622498,-8.666806
225,-31.769693,-19.707264
226,-73.430984,-28.425743
227,-77.607216,-46.828365
228,-74.210236,-48.362053
229,-78.545616,-23.411394
230,-77.679985,-50.134346
231,-46.613716,-30.241905
232,-74.38164,-31.40453
233,-74.52815,-31.398054
234,-78.53457,-46.694584
235,-75.1602,-54.580704
236,-69.622734,-72.846146
237,-53.834106,-61.896122
238,-7.9182396,-49.342148
239,-59.67137,-19.861437
240,61.825817,-63.580967
241,-77.58687,-49.992695
242,-65.787224,-52.147797
