index,sum_text_length,count_text_length_flag,max_time_diff,earliest_time_diff,labels
tonic_absolute_slope_feat,0.020304690419005466,-0.0024090627665560456,-0.00044495871638676243,-0.0004263522514922449,0.05404361407293114
tonic_dynamic_range_feat,0.020089553845962758,-0.0024028675063109805,-0.0004961410699806697,-0.00043112897427580497,0.05389979694972409
tonic_std_feat,0.020076691098655862,-0.0023950376546326745,-0.0004733082908448183,-0.0004303139156589172,0.0537837543644526
tonic_first_derivetive_mean_feat,0.01992004606619255,-0.003583271826602811,-0.0008175104369806625,-0.0010536726432655572,0.05086525521160691
tonic_slope_feat,0.019950283456824217,-0.003566992084842466,-0.0007936547885407112,-0.001059452686642907,0.05071195885371883
phasic_spectral_energy,0.018920747982337883,-0.003732477915640836,-0.002288712421007317,-0.0012995552044643547,0.04563483023309319
tonic_first_derivative_std_feat,0.012610185779300565,-0.001918255463337306,-0.002103816694355726,-0.000900137036153,0.04387333095900443
phasic_mean_feat,0.019511747181355198,-0.0017302491812020986,-0.0016929123184684157,-0.0011845236309211626,0.04353742953779812
phasic_max_feat,0.015963567373499677,-0.0007171700670039052,-0.0007386969316024878,-0.0010117313649510799,0.036258155764155114
mixed_first_derivetive_mean_feat,0.015438847370409473,-0.003668322533134989,-4.619545725141255e-06,-0.0014644776224927091,0.03544633163891747
average_scr_height,0.015990412375125634,-0.0018679118055664717,-0.000507168802398913,-0.000616149809869885,0.032741440267258635
mixed_dynamic_range_feat,0.013427262932581363,-0.0014256817980902686,0.00018904388270156908,-0.0018853729507014327,0.029283326721766745
phasic_first_derivative_std_feat,0.013167478099554963,-0.0020779814344481467,-0.0005676450659002145,-0.001702741578517853,0.02887819260998134
mixed_first_derivative_std_feat,0.01334884604242103,-0.002060946261933175,-0.0005598248059193741,-0.0017281266498834485,0.028821938325851077
phasic_dynamic_range_feat,0.011370692414603246,-0.0011117190296378496,-0.00019349649480649648,-0.0017577262521092285,0.027794710908543636
mixed_std_feat,0.010454973998047679,-0.0009027763129839063,0.0004688362315412139,-0.0018210342354378674,0.02284610338159668
mixed_absolute_slope_feat,0.00956679420937144,-0.0009936224112035786,0.0015058617200224406,-0.0013799362629440856,0.02254530337875099
phasic_std_feat,0.008881733057988261,-0.0006771676382839713,1.7384990576051935e-05,-0.001697278651428834,0.022289173966756583
mixed_slope_feat,0.008176420480088752,-0.0025122336309868504,0.0013706599254219522,-0.0009468656484821791,0.01931204525585929
phasic_absolute_slope_feat,0.004616575671888392,0.000125327913860498,0.0013843451417095251,-0.0011871996390537974,0.015827515156241746
mixed_max_feat,0.013496636990592337,0.01899934463670115,0.005216592694284065,0.0032357269802539843,0.015715235952330292
number_of_scr_peaks,0.007189448383315494,-0.0010689361270214976,0.0002996173395441594,-0.0006822727619130252,0.014903124201260826
mixed_mean_feat,0.012346259144049866,0.01884355578941106,0.005103298392361056,0.003407593864289568,0.014038526799163927
mixed_spectral_energy,0.012238237570386818,0.018743093702056682,0.004992482670271967,0.003453075201596991,0.013625877573808324
phasic_first_derivetive_mean_feat,0.008001490729364924,-0.002506203837052869,0.0007801105480310826,-0.0011914018714337606,0.013442557231705359
tonic_max_feat,0.011717453841197477,0.019204031754626292,0.005411205810065475,0.0036392549295937724,0.012951375772971863
phasic_dc_term,0.001012487536031155,0.0005329073815331369,-0.0003454191733311763,-0.0006906764862742648,0.012574085517432967
phasic_sum_of_all_coefficients,0.00099908307580863,0.0005367954858708289,-0.0003492986672814633,-0.0006871531451282911,0.01253850079100529
tonic_mean_feat,0.010212908050505742,0.019219407088466624,0.005388881610625369,0.003649840216776732,0.009293569422514652
tonic_spectral_energy,0.010165226940391204,0.01911231034965294,0.005267635478281293,0.0037066786934038653,0.00898955874962617
dynamic_range_feat,0.0028588131135134412,0.00131869737219198,0.001113703940648588,-0.0010925923694026381,0.007172252827280674
BVP_std,0.0021999283706772028,0.0008027443725793387,0.0009830172725771523,-0.0008740411184165886,0.006892875581805195
std_feat,0.0021770360225966596,0.0007834936984344049,0.0009766715480421823,-0.0008655265397086146,0.006851929182216749
max_feat,0.002686909505241147,0.0009233873277177085,0.0010839627934669546,-0.000855134114773508,0.00671831858127822
first_derivative_std_feat,0.0019580768402477702,-0.0001118151052939879,0.0009462567844849342,-0.0007758295516181869,0.0066501406739215485
mixed_dc_term,0.00841320670872261,0.019219512326305133,0.005144339168364196,0.0035841120804304696,0.005767859211490187
mixed_sum_of_all_coefficients,0.008394569838922186,0.019110725248348327,0.005017166775848634,0.003627655208172943,0.005537014551632967
tonic_dc_term,0.008515325409998279,0.019268927685908488,0.005437734666545015,0.0037780927798111933,0.005045148553140857
tonic_min_feat,0.008454398081386316,0.019192548013017487,0.005384964346578044,0.0036690086244330396,0.0048682688978355015
tonic_sum_of_all_coefficients,0.008495915591628192,0.0191637884635015,0.005312931853756569,0.0038205016501395668,0.004827723661030453
mixed_min_feat,0.007636662288808865,0.01847333620225048,0.004993414629014879,0.003989172425204471,0.0045544279021817
hrv_features_1,0.002012150558980067,0.0011136123706698563,0.0023013448187141645,0.0010982835354640759,0.00346290052300513
hrv_features_2,0.001895980404664926,0.000885362875303957,0.0021385838961379402,0.0009934773067174242,0.0031544522785409376
phasic_information_entropy,0.0022011549920327744,0.0016615709312528262,-5.991330773121063e-05,-0.00038052465034849276,0.002916081828949631
BVP_mean,0.000736464802823015,0.0010897141922483022,-0.00035561378093744336,0.0006794799819950198,0.001650492625567757
ratio_highest_smallest_peak_feat,0.0007156782578922549,0.0021255283520906242,0.0018039207981782339,-6.183571582010063e-05,0.0014812064624692533
