number_of_scr_onsets,number_of_scr_peaks,number_of_scr_recoveries,mean_scr_height,mean_scr_amplitude,mean_scr_rise_time,mean_scr_recovery_time,mixed_min_feat,mixed_max_feat,mixed_mean_feat,mixed_std_feat,mixed_dynamic_range_feat,mixed_slope_feat,mixed_absolute_slope_feat,mixed_first_derivetive_mean_feat,mixed_first_derivative_std_feat,mixed_dc_term,mixed_sum_of_all_coefficients,mixed_information_entropy,mixed_spectral_energy,tonic_min_feat,tonic_max_feat,tonic_mean_feat,tonic_std_feat,tonic_dynamic_range_feat,tonic_slope_feat,tonic_absolute_slope_feat,tonic_first_derivetive_mean_feat,tonic_first_derivative_std_feat,tonic_dc_term,tonic_sum_of_all_coefficients,tonic_information_entropy,tonic_spectral_energy,phasic_min_feat,phasic_max_feat,phasic_mean_feat,phasic_std_feat,phasic_dynamic_range_feat,phasic_slope_feat,phasic_absolute_slope_feat,phasic_first_derivetive_mean_feat,phasic_first_derivative_std_feat,phasic_dc_term,phasic_sum_of_all_coefficients,phasic_information_entropy,phasic_spectral_energy
-0.2397843362492698,-0.2241364102244767,-0.2111386604609304,-0.1602222610831467,-0.1800987731292918,-0.2190081198058708,-0.0410150149322925,-1.300129318289829,-1.6236976688784583,-1.655108399382311,-0.1500318155180585,-0.1691038275216543,0.0847056058473611,-0.2158236058358338,0.0583362066167878,-0.125764226951415,-1.5898024707160638,-1.5898024707160638,0.1459348467750856,-1.655108399382311,-1.63457647315313,-1.6637784465393493,-1.650169832366849,-0.1762904707247528,-0.171141372555345,-0.2674834437910268,-0.1669780774955007,-0.2732478511487765,-0.4195523586235273,-1.6339670126571553,-1.6339670126571553,0.139089352108105,-1.650169832366849,0.1168319575952951,-0.1950566831009591,-0.201352499252651,-0.1384111082873074,-0.1702643386489197,0.1630802339762405,-0.1403622305951403,0.1270831380739037,-0.1256915669543841,-0.2629164187699576,-0.2629164187699576,0.1384499131322941,-0.2163938486175186
-0.2397843362492698,-0.2241364102244767,-0.2111386604609304,-0.1602222610831467,-0.1800987731292918,-0.2190081198058708,-0.0410150149322925,-1.242442926472578,-1.67287433957566,-1.6529546187266178,-0.2923598587573583,-0.3019937457836016,-0.1305899299297923,-0.1700893660463087,-0.1453712358847136,-0.2978720301982687,-1.5898024707160632,-1.5898024707160632,0.1573132278940746,-1.6529546187266178,-1.6703320859817246,-1.6935910563526817,-1.6822477730464191,-0.1104101186084963,-0.106862355625006,-0.3276541153855262,-0.1009896064621745,-0.3314399759266643,-0.3433989191692986,-1.663650786909528,-1.663650786909528,0.1292330251688268,-1.6822477730464191,0.3097901862637207,-0.2550913666893083,0.1352367251906955,-0.3185942071745706,-0.330378259819693,-0.0595144980017023,-0.246351050149653,-0.0781677300905896,-0.2981249824450982,-0.2300851500018229,-0.2300851500018229,0.5879555372613534,-0.2890251100670374
-0.2397843362492698,-0.2241364102244767,-0.2111386604609304,-0.1602222610831467,-0.1800987731292918,-0.2190081198058708,-0.0410150149322925,-1.2857105343058486,-1.738438969472425,-1.7100655482648726,-0.3003792610081396,-0.3209737865120617,-0.0742371164276366,-0.22901346956878,-0.0435175146339625,-0.2832789317408729,-1.6399381180101864,-1.6399381180101864,0.1576019837807675,-1.7100655482648726,-1.7083088788047696,-1.7301859637670565,-1.7206439989658249,-0.0933048308748778,-0.0895448899341205,-0.3434478498911904,-0.083668802749717,-0.3472181091914654,-0.3778210171709538,-1.700087548980218,-1.700087548980218,0.1258127851913024,-1.7206439989658249,0.2859566267657273,-0.2804574730668993,-0.0539372529651508,-0.3106291358390083,-0.3257457481619114,0.0069292942854643,-0.3038382466315298,0.0350309314495015,-0.2833583461984201,-0.2899312355660554,-0.2899312355660554,0.4157616885247929,-0.3772306274662717
-0.2397843362492698,-0.2241364102244767,-0.2111386604609304,-0.1602222610831467,-0.1800987731292918,-0.2190081198058708,-0.0410150149322925,-1.300129318289829,-1.7220510102728626,-1.74023950224598,-0.2947544291104246,-0.2830137050551415,-0.0490091859079795,-0.2553925107774523,-0.0265617644452569,-0.2822290686303467,-1.6900737653043083,-1.6900737653043083,0.1573231793159627,-1.74023950224598,-1.7361786247288085,-1.76808570859579,-1.754027748855725,-0.1937306696973419,-0.1909770404046448,-0.2510433491276153,-0.1850077368250942,-0.2546861027915414,-0.3077417276811014,-1.737823509594293,-1.737823509594293,0.1403877448447336,-1.754027748855725,0.3019592185019729,-0.1977335694721313,-0.0251778113124678,-0.2988149588730703,-0.2985078643033194,0.0108767887622296,-0.2997055742847276,0.0314540831399494,-0.282200490380823,-0.2612022335569641,-0.2612022335569641,-0.6900157891100204,-0.4086084942296933
-0.2397843362492698,-0.2241364102244767,-0.2111386604609304,-0.1602222610831467,-0.1800987731292918,-0.2190081198058708,-0.0410150149322925,-1.3145481022738088,-1.7876156401696266,-1.7650226971474343,-0.3213239554950365,-0.3399686438218856,0.0090211579775962,-0.2949614157190708,-0.0604600181428335,-0.2968521849480591,-1.7235018776911042,-1.7235018776911042,0.1583257409208633,-1.7650226971474343,-1.751984185637169,-1.7953443867225791,-1.775198040541723,-0.3108968362429372,-0.3080814605151321,-0.1438499741090965,-0.3025654561413039,-0.148003106051977,-0.3566920390462621,-1.7649643890073976,-1.7649643890073976,0.1518740849064962,-1.775198040541723,0.28844370610865,-0.2813493494568582,-0.0629669667125603,-0.317787542001334,-0.3278640389280056,0.0472809746943191,-0.2615936596525706,-0.0301192135347552,-0.2966484179415655,-0.2321388218642593,-0.2321388218642593,0.5396396199258598,-0.3673787966032193
-0.2397843362492698,-0.2241364102244767,-0.2111386604609304,-0.1602222610831467,-0.1800987731292918,-0.2190081198058708,-0.0410150149322925,-1.3145481022738088,-1.7876156401696266,-1.76502353813949,-0.3260291245033718,-0.3399686438218856,-0.0212564277729015,-0.2844115835043693,-0.0095530275372116,-0.3073060676893053,-1.706794342783773,-1.706794342783773,0.1584676381391991,-1.76502353813949,-1.7655189341020534,-1.810759350952253,-1.7888703659993226,-0.3284481402494271,-0.3264315635249128,-0.1280240576492127,-0.3199215534261538,-0.1309929823805424,-0.4034382660247353,-1.7803127372790557,-1.7803127372790557,0.1530220605604483,-1.7888703659993226,0.3199313012125169,-0.26613309914692,0.0713808228276661,-0.327652646718419,-0.3424366081979077,0.0096780410765565,-0.3009605554988961,0.0205920289670471,-0.3071101550908545,-0.2492698123523892,-0.2492698123523892,0.0155045787463772,-0.35869482134317
-0.2397843362492698,-0.2241364102244767,-0.2111386604609304,-0.1602222610831467,-0.1800987731292918,-0.2190081198058708,-0.0410150149322925,-1.343396926123099,-1.804016392467705,-1.787652111393194,-0.3170990495777176,-0.3209886030934263,-0.0590986517077839,-0.2448426785627507,-0.0604467714630004,-0.3095121215994131,-1.7067943427837735,-1.7067943427837735,0.1581764994208138,-1.787652111393194,-1.7833909933036645,-1.8246096601419988,-1.804772999645764,-0.2849194413954618,-0.2834382072399775,-0.1679329591000547,-0.2761539284757701,-0.1699690417219265,-0.4072287482705777,-1.7941031921868331,-1.7941031921868331,0.1497471980484205,-1.804772999645764,0.2859363643090887,-0.2802853734658074,0.0031989814336154,-0.324534624578496,-0.3256523411205526,-0.0218399615506377,-0.2857929077345906,-0.024929376056511,-0.309265040631531,-0.1967580632183819,-0.1967580632183819,-0.2658144341529252,-0.4330843300403144
-0.2397843362492698,-0.2241364102244767,-0.2111386604609304,-0.1602222610831467,-0.1800987731292918,-0.2190081198058708,-0.0410150149322925,-1.343396926123099,-1.8204043516672672,-1.8059731233355132,-0.324210850082329,-0.3399686438218864,-0.0262982072742412,-0.2791397555545004,0.0923139403933755,-0.290894220985177,-1.7569299900778972,-1.7569299900778972,0.1583955067860014,-1.8059731233355132,-1.8030444758809416,-1.842832557388741,-1.823928315504151,-0.2690427439434675,-0.2670821116391828,-0.1825183128404633,-0.2601583418003214,-0.1850003605007937,-0.4353967617316664,-1.8122473389583964,-1.8122473389583964,0.1482447889283426,-1.823928315504151,0.3123217861736274,-0.2668377322326499,0.009707917329387,-0.3261016433709235,-0.3375416114960533,0.0182324928184051,-0.2920048124665308,0.1428124778340674,-0.2908145043012401,-0.2797730508364518,-0.2797730508364518,-0.2463547982576527,-0.4259827831544025
-0.2397843362492698,-0.2241364102244767,-0.2111386604609304,-0.1602222610831467,-0.1800987731292918,-0.2190081198058708,-0.0410150149322925,-1.3578157101070794,-1.804016392467705,-1.816747072566315,-0.2923769534405435,-0.3020085623649662,-0.1221543673249087,-0.1789098300712581,-0.0434777745944588,-0.2954781737134279,-1.7569299900778972,-1.7569299900778972,0.1571343858542058,-1.816747072566315,-1.819336703335953,-1.8626572767071952,-1.842800220205285,-0.3001416052271083,-0.3022880502132404,-0.1534238097885356,-0.2920659426462901,-0.1519445623670169,-0.3206908608325754,-1.8319863855078389,-1.8319863855078389,0.1508615301528842,-1.842800220205285,0.325197862387675,-0.1845001721377736,0.0882918240397477,-0.3049529456093732,-0.3083372579947973,-0.0953665893245055,-0.2088171290113553,-0.0109365728651567,-0.2953335759388929,-0.2510963801512973,-0.2510963801512973,-1.3186630075410166,-0.340244145239058
-0.2397843362492698,-0.2241364102244767,-0.2111386604609304,-0.1602222610831467,-0.1800987731292918,-0.2190081198058708,-0.0410150149322925,-1.3866645339563697,-1.8531930631649076,-1.845842874731492,-0.3150268874764902,-0.3209886030934263,-0.0288263164436199,-0.2764962927501652,-0.0095530275372109,-0.2878439061481382,-1.7903450598925537,-1.7903450598925537,0.1580683007258838,-1.845842874731492,-1.8206635527212525,-1.8701901797349827,-1.8484820743518775,-0.3659702315248098,-0.3663214868323744,0.06506036546343,-0.3690458053880117,0.0683262142394663,-0.0833859357412311,-1.847591706627998,-1.847591706627998,0.154985582158116,-1.8484820743518775,0.2714122411744645,-0.2753305701985906,-0.144477306937625,-0.3122187730833901,-0.3133990400893349,-0.0487718647679546,-0.2575976227688821,-0.0263714245695359,-0.2886245660283199,-0.2819988149938292,-0.2819988149938292,0.4430700477883378,-0.2784472858211017
