,participant,snapshot,NeuralNet.py_compiles,NeuralNetUtil.py_compiles,NeuralNet.py_length,NeuralNetUtil.py_length,q2_points,q1_points,q3_points,q4_points,total_points,total_points_max
122,P30,41,0,1,13867,5474,0,0,0,0,0,0
123,P30,43,0,1,13902,5474,0,0,0,0,0,0
124,P30,44,0,1,13832,5474,0,0,0,0,0,0
125,P30,45,0,1,14030,5474,0,0,0,0,0,0
126,P30,46,0,1,13928,5474,0,0,0,0,0,0
127,P30,47,0,1,13936,5474,0,0,0,0,0,0
128,P34,0,1,1,12685,5474,0,0,0,0,0,0
129,P34,1,1,1,12685,5474,0,0,0,0,0,0
130,P34,3,0,1,12713,5474,0,0,0,0,0,0
131,P34,4,0,1,12718,5474,0,0,0,0,0,0
132,P34,5,0,1,12913,5474,0,0,0,0,0,0
133,P34,6,0,1,13064,5474,0,0,0,0,0,0
134,P34,9,0,1,13118,5474,0,0,0,0,0,0
135,P34,10,0,1,13686,5474,0,0,0,0,0,0
136,P34,11,0,1,13867,5474,0,0,0,0,0,0
137,P34,12,0,1,13725,5474,0,0,0,0,0,0
138,P34,14,0,1,13761,5474,0,0,0,0,0,0
139,P36,0,1,1,12685,5474,0,0,0,0,0,0
140,P36,1,0,1,12783,5474,0,0,0,0,0,0
141,P36,2,0,1,12740,5474,0,0,0,0,0,0
142,P36,3,0,1,12828,5474,0,0,0,0,0,0
143,P36,4,0,1,12980,5474,0,0,0,0,0,0
144,P36,5,0,1,13111,5474,0,0,0,0,0,0
145,P36,6,0,1,13306,5474,0,0,0,0,0,0
146,P36,7,0,1,13405,5474,0,0,0,0,0,0
147,P36,8,0,1,13273,5474,0,0,0,0,0,0
148,P36,9,0,1,13276,5474,0,0,0,0,0,0
149,P36,10,0,1,13317,5474,0,0,0,0,0,0
150,P36,11,0,1,13458,5474,0,0,0,0,0,0
151,P36,12,0,1,13572,5474,0,0,0,0,0,0
152,P36,13,0,1,13632,5474,0,0,0,0,0,0
153,P36,14,0,1,13591,5474,0,0,0,0,0,0
154,P36,15,0,1,13631,5474,0,0,0,0,0,0
155,P36,16,0,1,13637,5474,0,0,0,0,0,0
156,P36,17,0,1,13650,5474,0,0,0,0,0,0
157,P36,18,0,1,13656,5474,0,0,0,0,0,0
158,P42,0,1,1,12685,5474,0,0,0,0,0,0
159,P42,1,1,1,12685,5474,0,0,0,0,0,0
160,P42,4,1,1,12686,5474,0,0,0,0,0,0
161,P42,5,0,1,12695,5474,0,0,0,0,0,0
162,P42,6,0,1,12738,5474,0,0,0,0,0,0
163,P42,7,0,1,12797,5474,0,0,0,0,0,0
164,P42,8,0,1,12893,5474,0,0,0,0,0,0
165,P42,9,0,1,12918,5474,0,0,0,0,0,0
166,P42,10,0,1,12918,5474,0,0,0,0,0,0
167,P42,12,0,1,13001,5474,0,0,0,0,0,0
168,P42,13,0,1,13062,5474,0,0,0,0,0,0
169,P42,17,0,1,13053,5474,0,0,0,0,0,0
170,P42,18,0,1,13147,5474,0,0,0,0,0,0
171,P42,21,0,1,13171,5474,0,0,0,0,0,0
172,P42,22,0,1,13210,5474,0,0,0,0,0,0
173,P42,23,0,1,13210,5474,0,0,0,0,0,0
174,P43,0,1,1,12685,5474,0,0,0,0,0,0
175,P43,1,0,1,12686,5474,0,0,0,0,0,0
176,P43,2,0,1,12719,5474,0,0,0,0,0,0
177,P43,4,0,1,12711,5474,0,0,0,0,0,0
178,P43,5,0,1,12730,5474,0,0,0,0,0,0
179,P43,6,0,1,12748,5474,0,0,0,0,0,0
180,P43,7,0,1,12864,5474,0,0,0,0,0,0
181,P43,8,0,1,12838,5474,0,0,0,0,0,0
182,P43,9,0,1,12928,5474,0,0,0,0,0,0
183,P43,10,0,1,12926,5474,0,0,0,0,0,0
184,P43,11,0,1,13005,5474,0,0,0,0,0,0
185,P43,13,0,1,13012,5474,0,0,0,0,0,0
186,P43,14,0,1,13012,5474,0,0,0,0,0,0
187,P43,15,0,1,13044,5474,0,0,0,0,0,0
188,P43,16,0,1,13047,5474,0,0,0,0,0,0
189,P43,17,0,1,13016,5474,0,0,0,0,0,0
190,P43,18,0,1,13125,5474,0,0,0,0,0,0
191,P43,19,0,1,13155,5474,0,0,0,0,0,0
192,P43,20,0,1,13221,5474,0,0,0,0,0,0
193,P43,21,0,1,13406,5474,0,0,0,0,0,0
194,P43,22,0,1,13458,5474,0,0,0,0,0,0
195,P43,23,0,1,13562,5474,0,0,0,0,0,0
196,P43,24,0,1,13657,5474,0,0,0,0,0,0
197,P43,25,0,1,13614,5474,0,0,0,0,0,0
198,P43,26,0,1,13622,5474,0,0,0,0,0,0
199,P50,0,1,1,12685,5474,0,0,0,0,0,0
200,P50,1,1,1,12685,5474,0,0,0,0,0,0
201,P50,2717,0,1,12708,5474,0,0,0,0,0,0
202,P50,2718,0,1,12726,5474,0,0,0,0,0,0
203,P50,2719,0,1,12748,5474,0,0,0,0,0,0
204,P50,2720,0,1,12785,5474,0,0,0,0,0,0
205,P50,2721,0,1,12853,5474,0,0,0,0,0,0
206,P50,2722,0,1,12862,5474,0,0,0,0,0,0
207,P50,2723,0,1,12875,5474,0,0,0,0,0,0
208,P50,2724,0,1,12935,5474,0,0,0,0,0,0
209,P50,2725,0,1,13044,5474,0,0,0,0,0,0
210,P50,2726,0,1,13104,5474,0,0,0,0,0,0
211,P50,2727,0,1,12933,5474,0,0,0,0,0,0
212,P50,2728,0,1,13177,5474,0,0,0,0,0,0
213,P50,2729,0,1,13186,5474,0,0,0,0,0,0
214,P50,2732,0,1,13293,5474,0,0,0,0,0,0
215,P50,2733,0,1,13316,5474,0,0,0,0,0,0
216,P50,2734,0,1,13387,5474,0,0,0,0,0,0
217,P50,2735,0,1,13415,5474,0,0,0,0,0,0
218,P50,2736,0,1,13456,5474,0,0,0,0,0,0
219,P50,2737,0,1,13516,5474,0,0,0,0,0,0
220,P50,2738,0,1,13587,5474,0,0,0,0,0,0
221,P50,2739,0,1,13646,5474,0,0,0,0,0,0
222,P50,2740,0,1,13714,5474,0,0,0,0,0,0
223,P50,2741,0,1,13732,5474,0,0,0,0,0,0
224,P50,2742,0,1,13753,5474,0,0,0,0,0,0
225,P50,2743,0,1,13819,5474,0,0,0,0,0,0
226,P52,0,1,1,12685,5474,0,0,0,0,0,0
227,P52,1,1,1,12685,5474,0,0,0,0,0,0
228,P52,542,0,1,12731,5474,0,0,0,0,0,0
229,P52,543,0,1,13047,5474,0,0,0,0,0,0
230,P52,544,0,1,13049,5474,0,0,0,0,0,0
231,P52,545,0,1,13212,5474,0,0,0,0,0,0
232,P52,546,0,1,13340,5474,0,0,0,0,0,0
233,P52,547,0,1,13405,5474,0,0,0,0,0,0
234,P52,548,0,1,13526,5474,0,0,0,0,0,0
235,P52,550,0,1,13476,5474,0,0,0,0,0,0
236,P52,551,0,1,13476,5474,0,0,0,0,0,0
237,P52,552,0,1,13488,5474,0,0,0,0,0,0
238,P52,553,0,1,13496,5474,0,0,0,0,0,0
239,P52,554,0,1,13449,5474,0,0,0,0,0,0
240,P52,555,0,1,13459,5474,0,0,0,0,0,0
241,P52,557,0,1,13784,5474,0,0,0,0,0,0
242,P52,558,0,1,13836,5474,0,0,0,0,0,0
243,P52,559,0,1,13953,5474,0,0,0,0,0,0
244,P52,560,0,1,14485,5474,0,0,0,0,0,0
245,P53,0,1,1,12685,5474,0,0,0,0,0,0
246,P53,1,0,1,12989,5474,0,0,0,0,0,0
247,P53,2,0,1,13128,5474,0,0,0,0,0,0
248,P53,3,0,1,13499,5474,0,0,0,0,0,0
249,P53,4,0,1,13482,5474,0,0,0,0,0,0
250,P53,5,0,1,13503,5474,0,0,0,0,0,0
251,P53,6,0,1,13424,5474,0,0,0,0,0,0
252,P53,7,0,1,13515,5474,0,0,0,0,0,0
253,P53,8,0,1,13698,5474,0,0,0,0,0,0
254,P53,9,0,1,13724,5474,0,0,0,0,0,0
255,P53,10,0,1,13743,5474,0,0,0,0,0,0
256,P53,12,0,1,13776,5474,0,0,0,0,0,0
257,P53,13,0,1,13762,5474,0,0,0,0,0,0
258,P53,14,0,1,13804,5474,0,0,0,0,0,0
259,P53,15,0,1,13866,5474,0,0,0,0,0,0
260,P53,16,0,1,13861,5474,0,0,0,0,0,0
261,P53,17,0,1,13861,5474,0,0,0,0,0,0
262,P53,18,0,1,13950,5474,0,0,0,0,0,0
263,P53,19,0,1,14048,5474,0,0,0,0,0,0
264,P53,20,0,1,14046,5474,0,0,0,0,0,0
265,P9,0,1,1,12685,5474,0,0,0,0,0,0
266,P9,1,1,1,12779,5474,0,0,0,0,0,0
267,P9,2,0,1,12923,5474,0,0,0,0,0,0
268,P9,6,0,1,13011,5474,0,0,0,0,0,0
269,P9,7,0,1,13174,5474,0,0,0,0,0,0
270,P9,11,0,1,13286,5474,0,0,0,0,0,0
271,P9,12,0,1,13391,5474,0,0,0,0,0,0
272,P9,13,0,1,13460,5474,0,0,0,0,0,0
273,P9,15,0,1,13545,5474,0,0,0,0,0,0
274,P9,18,0,1,13602,5474,0,0,0,0,0,0
275,P9,21,0,1,13614,5474,0,0,0,0,0,0
276,P9,22,0,1,13692,5474,0,0,0,0,0,0
