,participant,snapshot,bustersAgents.py_compiles,inference.py_compiles,bustersAgents.py_length,inference.py_length,q4_points,q1_points,q6_points,q5_points,q2_points,q7_points,q3_points,total_points,total_points_max
153,P29,45,1,1,6890,19913,0,0,0,0,0,0,0,0,0
154,P29,46,1,0,6890,20130,0,0,0,0,0,0,0,0,0
155,P29,47,1,0,6890,20224,0,0,0,0,0,0,0,0,0
156,P29,48,1,0,6890,20194,0,0,0,0,0,0,0,0,0
157,P29,49,1,0,6890,20194,0,0,0,0,0,0,0,0,0
158,P29,50,1,0,6890,20333,0,0,0,0,0,0,0,0,0
159,P29,51,1,0,6890,20388,0,0,0,0,0,0,0,0,0
160,P29,52,1,0,6890,20577,0,0,0,0,0,0,0,0,0
161,P29,53,1,0,6890,20655,0,0,0,0,0,0,0,0,0
162,P29,54,1,0,6890,20720,0,0,0,0,0,0,0,0,0
163,P29,55,1,0,6890,20793,0,0,0,0,0,0,0,0,0
164,P29,56,1,0,6890,20988,0,0,0,0,0,0,0,0,0
165,P29,57,1,0,6890,20971,0,0,0,0,0,0,0,0,0
166,P29,58,1,0,6890,21019,0,0,0,0,0,0,0,0,0
167,P29,59,1,0,6890,21045,0,0,0,0,0,0,0,0,0
168,P29,60,1,0,6890,21073,0,0,0,0,0,0,0,0,0
169,P29,61,1,0,6890,21171,0,0,0,0,0,0,0,0,0
170,P29,62,1,0,6890,21280,0,0,0,0,0,0,0,0,0
171,P29,63,1,0,6890,21297,0,0,0,0,0,0,0,0,0
172,P29,64,1,0,6890,21344,0,0,0,0,0,0,0,0,0
173,P29,65,1,0,6890,21448,0,0,0,0,0,0,0,0,0
174,P3,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0
175,P3,1,1,1,6891,19913,0,0,0,0,0,0,0,0,0
176,P3,2,1,1,6891,19913,0,0,0,0,0,0,0,0,0
177,P3,2362,1,1,6891,19913,0,0,0,0,0,0,0,0,0
178,P3,2364,1,1,6899,19931,0,0,0,0,0,0,0,0,0
179,P3,2365,1,0,6899,20166,0,0,0,0,0,0,0,0,0
180,P3,2366,1,0,6899,20376,0,0,0,0,0,0,0,0,0
181,P3,2367,1,0,6899,20478,0,0,0,0,0,0,0,0,0
182,P3,2368,1,0,6899,20414,0,0,0,0,0,0,0,0,0
183,P3,2369,1,0,6899,20490,0,0,0,0,0,0,0,0,0
184,P3,2370,1,0,6899,20527,0,0,0,0,0,0,0,0,0
185,P3,2371,1,0,6899,20663,0,0,0,0,0,0,0,0,0
186,P3,2372,1,0,6899,20686,0,0,0,0,0,0,0,0,0
187,P3,2373,1,0,6899,20715,0,0,0,0,0,0,0,0,0
188,P3,2374,1,0,6899,20936,0,0,0,0,0,0,0,0,0
189,P3,2376,1,0,6908,20945,0,0,0,0,0,0,0,0,0
190,P30,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0
191,P30,1,1,1,6891,19913,0,0,0,0,0,0,0,0,0
192,P30,1325,1,1,6891,19913,0,0,0,0,0,0,0,0,0
193,P30,1326,1,0,6891,20022,0,0,0,0,0,0,0,0,0
194,P30,1327,1,0,6891,20241,0,0,0,0,0,0,0,0,0
195,P30,1328,1,0,6891,20287,0,0,0,0,0,0,0,0,0
196,P30,1329,1,0,6891,20372,0,0,0,0,0,0,0,0,0
197,P30,1330,1,0,6891,20378,0,0,0,0,0,0,0,0,0
198,P30,1331,1,0,6891,20437,0,0,0,0,0,0,0,0,0
199,P30,1332,1,0,6891,20135,0,0,0,0,0,0,0,0,0
200,P30,1333,1,0,6891,20107,0,0,0,0,0,0,0,0,0
201,P30,1335,1,0,6891,20115,0,0,0,0,0,0,0,0,0
202,P30,1337,1,0,6891,20173,0,0,0,0,0,0,0,0,0
203,P30,1338,1,0,6891,20241,0,0,0,0,0,0,0,0,0
204,P30,1339,1,0,6891,20349,0,0,0,0,0,0,0,0,0
205,P30,1340,1,0,6891,20418,0,0,0,0,0,0,0,0,0
206,P30,1341,1,0,6891,20406,0,0,0,0,0,0,0,0,0
207,P30,1342,1,0,6891,20104,0,0,0,0,0,0,0,0,0
208,P30,1343,1,0,6891,20423,0,0,0,0,0,0,0,0,0
209,P34,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0
210,P34,1,1,1,6891,19913,0,0,0,0,0,0,0,0,0
211,P34,3502,1,0,6891,19983,0,0,0,0,0,0,0,0,0
212,P34,3504,1,0,6891,20127,0,0,0,0,0,0,0,0,0
213,P34,3505,1,0,6891,20420,0,0,0,0,0,0,0,0,0
214,P34,3506,1,0,6891,20393,0,0,0,0,0,0,0,0,0
215,P34,3507,1,0,6891,20450,0,0,0,0,0,0,0,0,0
216,P34,3508,1,0,6891,20440,0,0,0,0,0,0,0,0,0
217,P34,3509,1,0,6891,20737,0,0,0,0,0,0,0,0,0
218,P34,3510,1,0,6891,20482,0,0,0,0,0,0,0,0,0
219,P34,3511,1,0,6891,20498,0,0,0,0,0,0,0,0,0
220,P42,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0
221,P42,1,1,1,6908,19913,0,0,0,0,0,0,0,0,0
222,P42,1006,1,1,6912,19913,0,0,0,0,0,0,0,0,0
223,P42,1007,1,0,6912,20135,0,0,0,0,0,0,0,0,0
224,P42,1008,1,0,6912,20292,0,0,0,0,0,0,0,0,0
225,P42,1009,1,0,6912,20282,0,0,0,0,0,0,0,0,0
226,P42,1011,1,0,6912,20469,0,0,0,0,0,0,0,0,0
227,P42,1012,1,0,6912,20478,0,0,0,0,0,0,0,0,0
228,P42,1013,1,0,6912,20507,0,0,0,0,0,0,0,0,0
229,P42,1014,1,0,6912,20306,0,0,0,0,0,0,0,0,0
230,P42,1015,1,0,6912,20387,0,0,0,0,0,0,0,0,0
231,P42,1016,1,0,6912,20448,0,0,0,0,0,0,0,0,0
232,P42,1017,1,0,6912,20477,0,0,0,0,0,0,0,0,0
233,P42,1019,1,0,6912,20553,0,0,0,0,0,0,0,0,0
234,P42,1020,1,0,6912,20578,0,0,0,0,0,0,0,0,0
235,P42,1021,1,0,6912,20577,0,0,0,0,0,0,0,0,0
236,P42,1022,1,0,6912,20642,0,0,0,0,0,0,0,0,0
237,P42,1024,1,0,6912,20591,0,0,0,0,0,0,0,0,0
238,P42,1025,1,0,6912,20432,0,0,0,0,0,0,0,0,0
239,P42,1026,1,0,6912,20442,0,0,0,0,0,0,0,0,0
240,P43,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0
241,P43,1,1,1,6891,19913,0,0,0,0,0,0,0,0,0
242,P43,1105,1,1,6891,19914,0,0,0,0,0,0,0,0,0
243,P43,1106,1,0,6891,19968,0,0,0,0,0,0,0,0,0
244,P43,1107,1,0,6891,19971,0,0,0,0,0,0,0,0,0
245,P43,1108,1,0,6891,20045,0,0,0,0,0,0,0,0,0
246,P43,1109,1,0,6891,20083,0,0,0,0,0,0,0,0,0
247,P43,1110,1,0,6891,20164,0,0,0,0,0,0,0,0,0
248,P43,1111,1,0,6891,20241,0,0,0,0,0,0,0,0,0
249,P43,1112,1,0,6891,20332,0,0,0,0,0,0,0,0,0
250,P43,1113,1,0,6891,20398,0,0,0,0,0,0,0,0,0
251,P43,1114,1,0,6891,20423,0,0,0,0,0,0,0,0,0
252,P43,1115,1,0,6891,20420,0,0,0,0,0,0,0,0,0
253,P43,1116,1,0,6891,20447,0,0,0,0,0,0,0,0,0
254,P43,1117,1,0,6891,20447,0,0,0,0,0,0,0,0,0
255,P43,1119,1,0,6891,20567,0,0,0,0,0,0,0,0,0
256,P43,1120,1,0,6891,20572,0,0,0,0,0,0,0,0,0
257,P43,1121,1,0,6891,20617,0,0,0,0,0,0,0,0,0
258,P43,1122,1,0,6891,20724,0,0,0,0,0,0,0,0,0
259,P43,1123,1,0,6891,20840,0,0,0,0,0,0,0,0,0
260,P43,1124,1,0,6891,20864,0,0,0,0,0,0,0,0,0
261,P43,1125,1,0,6891,20811,0,0,0,0,0,0,0,0,0
262,P43,1126,1,0,6891,20811,0,0,0,0,0,0,0,0,0
263,P43,1127,1,0,6891,20811,0,0,0,0,0,0,0,0,0
264,P43,1128,1,0,6891,20819,0,0,0,0,0,0,0,0,0
265,P47,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0
266,P47,1,1,1,6889,19913,0,0,0,0,0,0,0,0,0
267,P47,2,0,1,6889,19913,0,0,0,0,0,0,0,0,0
268,P47,1004,0,1,6898,19921,0,0,0,0,0,0,0,0,0
269,P47,1005,0,1,6898,20010,0,0,0,0,0,0,0,0,0
270,P47,1006,0,1,6898,20112,0,0,0,0,0,0,0,0,0
271,P47,1007,0,1,6898,20124,0,0,0,0,0,0,0,0,0
272,P47,1008,0,1,6898,20206,0,0,0,0,0,0,0,0,0
273,P47,1009,0,1,6898,20274,0,0,0,0,0,0,0,0,0
274,P47,1010,0,1,6898,20255,0,0,0,0,0,0,0,0,0
275,P47,1011,0,0,6898,20400,0,0,0,0,0,0,0,0,0
276,P47,1012,0,0,6898,20405,0,0,0,0,0,0,0,0,0
277,P47,1013,0,0,6898,20633,0,0,0,0,0,0,0,0,0
278,P47,1015,0,0,6898,20663,0,0,0,0,0,0,0,0,0
279,P47,1017,0,0,6898,20659,0,0,0,0,0,0,0,0,0
280,P47,1018,0,0,6898,20851,0,0,0,0,0,0,0,0,0
281,P47,1019,0,0,6898,20864,0,0,0,0,0,0,0,0,0
282,P47,1024,0,0,6898,20896,0,0,0,0,0,0,0,0,0
283,P47,1025,0,0,6898,21087,0,0,0,0,0,0,0,0,0
284,P47,1026,0,0,6898,21127,0,0,0,0,0,0,0,0,0
285,P47,1028,0,0,6898,21186,0,0,0,0,0,0,0,0,0
286,P47,1029,0,0,6898,21198,0,0,0,0,0,0,0,0,0
287,P5,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0
288,P5,1,1,1,6891,19913,0,0,0,0,0,0,0,0,0
289,P5,13,1,1,6891,19913,0,0,0,0,0,0,0,0,0
290,P5,19,1,0,6891,20373,0,0,0,0,0,0,0,0,0
291,P5,20,1,0,6891,20591,0,0,0,0,0,0,0,0,0
292,P5,21,1,0,6891,20924,0,0,0,0,0,0,0,0,0
293,P5,22,1,0,6891,21481,0,0,0,0,0,0,0,0,0
294,P5,23,1,0,6891,21739,0,0,0,0,0,0,0,0,0
295,P5,24,1,0,6891,21912,0,0,0,0,0,0,0,0,0
296,P5,25,1,0,6891,22018,0,0,0,0,0,0,0,0,0
297,P5,26,1,0,6891,22122,0,0,0,0,0,0,0,0,0
298,P5,27,1,0,6891,22200,0,0,0,0,0,0,0,0,0
299,P5,28,1,0,6891,22377,0,0,0,0,0,0,0,0,0
300,P5,29,1,0,6891,22676,0,0,0,0,0,0,0,0,0
301,P5,30,1,0,6891,23129,0,0,0,0,0,0,0,0,0
302,P5,31,1,0,6891,23401,0,0,0,0,0,0,0,0,0
303,P5,32,1,0,6891,23424,0,0,0,0,0,0,0,0,0
304,P5,33,1,0,6891,23441,0,0,0,0,0,0,0,0,0
305,P5,34,1,0,6891,23603,0,0,0,0,0,0,0,0,0
306,P5,35,1,0,6891,23617,0,0,0,0,0,0,0,0,0
307,P5,36,1,0,6899,23975,0,0,0,0,0,0,0,0,0
308,P5,37,1,0,7248,23975,0,0,0,0,0,0,0,0,0
309,P5,38,0,0,7408,23975,0,0,0,0,0,0,0,0,0
310,P5,39,0,0,7947,23975,0,0,0,0,0,0,0,0,0
311,P5,40,0,0,8279,23975,0,0,0,0,0,0,0,0,0
312,P5,41,0,0,8500,23975,0,0,0,0,0,0,0,0,0
313,P5,42,0,0,8488,23975,0,0,0,0,0,0,0,0,0
314,P5,43,0,0,8511,24148,0,0,0,0,0,0,0,0,0
315,P5,45,0,0,8511,24204,0,0,0,0,0,0,0,0,0
316,P5,52,0,0,8511,24360,0,0,0,0,0,0,0,0,0
317,P5,53,0,0,8511,24464,0,0,0,0,0,0,0,0,0
318,P5,54,0,0,8511,24668,0,0,0,0,0,0,0,0,0
319,P5,55,0,0,8511,25076,0,0,0,0,0,0,0,0,0
320,P5,56,0,0,8511,25740,0,0,0,0,0,0,0,0,0
321,P5,57,0,0,8511,26430,0,0,0,0,0,0,0,0,0
322,P5,58,0,0,8511,26609,0,0,0,0,0,0,0,0,0
323,P5,59,0,0,8511,26635,0,0,0,0,0,0,0,0,0
324,P5,60,0,0,8511,26800,0,0,0,0,0,0,0,0,0
325,P5,61,0,0,8511,26888,0,0,0,0,0,0,0,0,0
326,P5,62,0,0,8511,26995,0,0,0,0,0,0,0,0,0
327,P5,63,0,0,8511,27219,0,0,0,0,0,0,0,0,0
328,P5,64,0,0,8511,27267,0,0,0,0,0,0,0,0,0
329,P8,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0
330,P8,1,1,1,6891,19948,0,0,0,0,0,0,0,0,0
331,P8,2495,1,1,6891,19967,0,0,0,0,0,0,0,0,0
332,P8,2496,1,1,6891,20165,0,0,0,0,0,0,0,0,0
333,P8,2497,1,1,6891,20267,0,0,0,0,0,0,0,0,0
334,P8,2498,1,1,6891,20372,0,0,0,0,0,0,0,0,0
335,P8,2499,1,1,6891,20381,0,0,0,0,0,0,0,0,0
336,P8,2500,1,1,6891,20529,0,0,0,0,0,0,0,0,0
337,P8,2501,1,1,6891,20652,0,0,0,0,0,0,0,0,0
338,P8,2502,1,1,6891,20657,0,0,0,0,0,0,0,0,0
339,P8,2503,1,1,6891,20657,0,0,0,0,0,0,0,0,0
340,P8,2504,1,1,6891,20690,0,0,0,0,0,0,0,0,0
341,P8,2505,1,1,6891,20790,0,0,0,0,0,0,0,0,0
342,P8,2506,1,1,6891,20779,0,0,0,0,0,0,0,0,0
343,P8,2507,1,1,6891,20812,0,0,0,0,0,0,0,0,0
344,P9,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0
345,P9,1,1,1,6891,19935,0,0,0,0,0,0,0,0,0
346,P9,1774,1,1,6900,19946,0,0,0,0,0,0,0,0,0
347,P9,1775,1,1,6922,19946,0,0,0,0,0,0,0,0,0
348,P9,1776,1,0,6922,20485,0,0,0,0,0,0,0,0,0
349,P9,1780,1,0,6922,20575,0,0,0,0,0,0,0,0,0
350,P9,1781,1,0,6922,20818,0,0,0,0,0,0,0,0,0
351,P9,1782,1,0,6922,20889,0,0,0,0,0,0,0,0,0
352,P9,1783,1,0,6922,21027,0,0,0,0,0,0,0,0,0
353,P9,1784,1,0,6922,21051,0,0,0,0,0,0,0,0,0
354,P9,1785,1,0,6922,21416,0,0,0,0,0,0,0,0,0
355,P9,1786,1,0,6922,21431,0,0,0,0,0,0,0,0,0
