,participant,snapshot,bustersAgents.py_compiles,inference.py_compiles,bustersAgents.py_length,inference.py_length,q1_points,q5_points,q6_points,q4_points,q2_points,q7_points,q3_points,total_points
77,P19,7,1,1,6891,20565,3,0,0,0,0,0,0,3.0
78,P19,8,1,1,6891,20675,3,0,0,0,4,0,0,7.0
79,P19,9,0,1,7137,20675,0,0,0,0,0,0,0,7.0
80,P19,10,0,1,7870,20675,0,0,0,0,0,0,0,7.0
81,P19,11,0,1,7830,20675,0,0,0,0,0,0,0,7.0
82,P19,12,0,1,7830,20675,0,0,0,0,0,0,0,7.0
83,P19,13,0,1,7879,20675,0,0,0,0,0,0,0,7.0
84,P19,14,0,1,7969,20675,0,0,0,0,0,0,0,7.0
85,P19,15,0,1,7980,20684,0,0,0,0,0,0,0,7.0
86,P19,16,0,1,7980,21227,0,0,0,0,0,0,0,7.0
87,P19,17,0,1,7980,21760,0,0,0,0,0,0,0,7.0
88,P19,18,0,1,7980,21768,0,0,0,0,0,0,0,7.0
89,P19,19,0,1,7980,21491,0,0,0,0,0,0,0,7.0
90,P19,20,0,1,7980,21678,0,0,0,0,0,0,0,7.0
91,P19,21,0,1,7980,21740,0,0,0,0,0,0,0,7.0
92,P19,22,0,1,7980,22472,0,0,0,0,0,0,0,7.0
93,P19,23,0,1,7980,21760,0,0,0,0,0,0,0,7.0
94,P20,0,1,1,6891,19913,0,0,0,0,0,0,0,0.0
95,P20,1,1,1,6891,19913,0,0,0,0,0,0,0,0.0
96,P20,2,1,1,6891,19988,0,0,0,0,0,0,0,0.0
97,P20,3,1,0,6891,20100,0,0,0,0,0,0,0,0.0
98,P20,4,1,1,6891,20095,0,0,0,0,0,0,0,0.0
99,P20,5,1,1,6891,20191,0,0,0,0,0,0,0,0.0
100,P20,6,1,1,6891,20347,0,0,0,0,0,0,0,0.0
101,P20,7,1,1,6891,20376,0,0,0,0,0,0,0,0.0
102,P20,8,1,1,6891,20535,0,0,0,0,0,0,0,0.0
103,P20,9,1,1,6891,20589,0,0,0,0,0,0,0,0.0
104,P20,10,1,1,6891,20689,0,0,0,0,0,0,0,0.0
105,P20,11,1,1,6891,20785,0,0,0,0,0,0,0,0.0
106,P20,12,1,1,6891,20972,3,0,0,0,0,0,0,3.0
107,P20,13,1,1,6891,21312,3,0,0,0,0,0,0,3.0
108,P20,14,1,1,6891,21389,3,0,0,0,0,0,0,3.0
109,P20,15,1,1,6891,21599,3,0,0,0,0,0,0,3.0
110,P20,16,1,1,6891,21619,3,0,0,0,0,0,0,3.0
111,P20,17,1,1,6891,21781,3,0,0,0,0,0,0,3.0
112,P20,18,1,1,6891,21908,3,0,0,0,0,0,0,3.0
113,P20,19,1,0,6891,22172,0,0,0,0,0,0,0,3.0
114,P20,20,1,1,6891,22326,3,0,0,0,0,0,0,3.0
115,P20,21,1,1,6891,22318,3,0,0,0,0,0,0,3.0
116,P21,0,1,1,6891,19913,0,0,0,0,0,0,0,0.0
117,P21,1,1,1,6891,19913,0,0,0,0,0,0,0,0.0
118,P21,2,0,1,6894,19913,0,0,0,0,0,0,0,0.0
119,P21,3,0,1,6894,19913,0,0,0,0,0,0,0,0.0
120,P21,4,0,1,6894,19941,0,0,0,0,0,0,0,0.0
121,P21,5,0,1,6894,19941,0,0,0,0,0,0,0,0.0
122,P21,6,0,1,6894,19941,0,0,0,0,0,0,0,0.0
123,P21,7,0,1,6894,19941,0,0,0,0,0,0,0,0.0
124,P21,8,0,1,6894,19941,0,0,0,0,0,0,0,0.0
125,P21,9,0,1,6894,19941,0,0,0,0,0,0,0,0.0
126,P21,10,0,1,6894,19941,0,0,0,0,0,0,0,0.0
127,P21,11,0,0,6894,20103,0,0,0,0,0,0,0,0.0
128,P21,12,0,1,6894,20503,0,0,0,0,0,0,0,0.0
129,P21,13,0,1,6894,20473,0,0,0,0,0,0,0,0.0
130,P21,14,0,1,6894,20507,0,0,0,0,0,0,0,0.0
131,P21,15,0,0,6894,20625,0,0,0,0,0,0,0,0.0
132,P21,16,0,1,6894,20893,0,0,0,0,0,0,0,0.0
133,P21,17,0,1,6894,20903,0,0,0,0,0,0,0,0.0
134,P21,18,0,1,6894,20903,0,0,0,0,0,0,0,0.0
135,P21,19,0,1,6894,20903,0,0,0,0,0,0,0,0.0
136,P21,20,0,1,6894,20815,0,0,0,0,0,0,0,0.0
137,P21,21,0,1,6894,20915,0,0,0,0,0,0,0,0.0
138,P24,0,1,1,6891,19913,0,0,0,0,0,0,0,0.0
139,P24,1,1,1,6891,19913,0,0,0,0,0,0,0,0.0
140,P24,2,1,1,6891,19927,0,0,0,0,0,0,0,0.0
141,P24,3,1,1,6891,19927,0,0,0,0,0,0,0,0.0
142,P24,4,1,1,6891,19973,0,0,0,0,0,0,0,0.0
143,P24,5,1,1,6891,19973,0,0,0,0,0,0,0,0.0
144,P24,6,1,0,6891,20124,0,0,0,0,0,0,0,0.0
145,P24,7,1,1,6891,20145,0,0,0,0,0,0,0,0.0
146,P24,8,1,1,6891,20191,0,0,0,0,0,0,0,0.0
147,P24,9,1,1,6891,20220,0,0,0,0,0,0,0,0.0
148,P24,10,1,1,6891,20267,0,0,0,0,0,0,0,0.0
149,P24,11,1,1,6891,20320,0,0,0,0,0,0,0,0.0
150,P24,12,1,1,6891,20408,0,0,0,0,0,0,0,0.0
151,P24,13,1,1,6891,20534,0,0,0,0,0,0,0,0.0
152,P24,14,1,1,6891,20688,0,0,0,0,0,0,0,0.0
153,P24,15,1,1,6891,20908,0,0,0,0,0,0,0,0.0
154,P24,16,1,1,6891,21034,0,0,0,0,0,0,0,0.0
155,P24,17,1,1,6891,21256,0,0,0,0,0,0,0,0.0
156,P24,18,1,1,6891,21280,0,0,0,0,0,0,0,0.0
157,P24,19,1,1,6891,21744,0,0,0,0,0,0,0,0.0
158,P24,20,1,1,6891,21760,0,0,0,0,0,0,0,0.0
159,P24,21,1,1,6891,21915,0,0,0,0,0,0,0,0.0
160,P24,22,1,1,6891,22023,0,0,0,0,0,0,0,0.0
161,P28,0,1,1,6891,19913,0,0,0,0,0,0,0,0.0
162,P28,1,1,1,6891,19913,0,0,0,0,0,0,0,0.0
163,P28,2,1,1,6891,19913,0,0,0,0,0,0,0,0.0
164,P28,3,1,1,6891,19921,0,0,0,0,0,0,0,0.0
165,P28,4,1,0,6891,19999,0,0,0,0,0,0,0,0.0
166,P28,5,1,1,6891,20011,0,0,0,0,0,0,0,0.0
167,P28,6,1,1,6891,20011,0,0,0,0,0,0,0,0.0
168,P28,7,1,0,6891,20062,0,0,0,0,0,0,0,0.0
169,P28,8,1,0,6891,20062,0,0,0,0,0,0,0,0.0
170,P28,9,1,0,6891,20062,0,0,0,0,0,0,0,0.0
171,P28,10,1,0,6891,20030,0,0,0,0,0,0,0,0.0
172,P28,11,1,0,6891,20030,0,0,0,0,0,0,0,0.0
173,P28,12,1,1,6891,20090,0,0,0,0,0,0,0,0.0
174,P28,13,1,1,6891,20098,0,0,0,0,0,0,0,0.0
175,P28,14,1,0,6891,20119,0,0,0,0,0,0,0,0.0
176,P28,15,1,0,6891,20219,0,0,0,0,0,0,0,0.0
177,P28,16,1,0,6891,20219,0,0,0,0,0,0,0,0.0
178,P28,17,1,0,6891,20219,0,0,0,0,0,0,0,0.0
179,P28,18,1,0,6891,20219,0,0,0,0,0,0,0,0.0
180,P28,19,1,0,6891,20219,0,0,0,0,0,0,0,0.0
181,P28,20,1,0,6891,20315,0,0,0,0,0,0,0,0.0
182,P28,21,1,0,6891,20367,0,0,0,0,0,0,0,0.0
183,P29,0,1,1,6891,19913,0,0,0,0,0,0,0,0.0
184,P29,1,1,1,6891,19913,0,0,0,0,0,0,0,0.0
185,P29,2,1,1,6891,19913,0,0,0,0,0,0,0,0.0
186,P29,3,1,1,6891,19913,0,0,0,0,0,0,0,0.0
